,PARID,"2021 BOR Final 
Assessed Value","2022 CCAO Initial 
Assessed Value",$ Difference,% Difference2,Class,Township,ADDRESS,geo_address,geocoded,lat,lon
79,17103030420000,"9,472,908","13,322,329","-3,849,421",-0.41,3-91,South Chicago,201 N GARLAND CT,"201 N GARLAND CT Cook County, IL","(41.8861123, -87.6248919)",41.8861123,-87.6248919
80,17102100260000,"16,115,001","19,865,990","-3,750,989",-0.23,5-97,North Chicago,541 N FAIRBANKS CT,"541 N FAIRBANKS CT Cook County, IL","(41.8922767, -87.619807)",41.8922767,-87.619807
81,17102080110000,"5,284,827","8,906,452","-3,621,625",-0.69,3-97,North Chicago,420 E OHIO ST,"420 E OHIO ST Cook County, IL","(41.89286449999999, -87.61651669999999)",41.89286449999999,-87.61651669999999
82,17162010120000,"45,768,161","49,366,853","-3,598,692",-0.08,5-91,South Chicago,300 W MONROE ST,"300 W MONROE ST Cook County, IL","(41.88088, -87.635761)",41.88088,-87.635761
83,17164110150000,"9,282,517","12,862,968","-3,580,451",-0.39,3-91,South Chicago,900 S CLARK ST,"900 S CLARK ST Cook County, IL","(41.8702921, -87.6310244)",41.8702921,-87.6310244
84,17092130280000,"12,559,560","16,106,606","-3,547,046",-0.28,3-97,North Chicago,1 W SUPERIOR ST,"1 W SUPERIOR ST Cook County, IL","(41.8954525, -87.6289386)",41.8954525,-87.6289386
85,17162010070000,"16,378,190","19,910,784","-3,532,594",-0.22,5-91,South Chicago,303 W MADISON ST,"303 W MADISON ST Cook County, IL","(41.88151, -87.6355243)",41.88151,-87.6355243
86,17161080310000,"17,973,113","21,452,477","-3,479,364",-0.19,5-91,West Chicago,525 W MONROE ST,"525 W MONROE ST Cook County, IL","(41.8803304, -87.6403457)",41.8803304,-87.6403457
87,17044130100000,"2,846,227","6,292,000","-3,445,773",-1.21,3-91,North Chicago,1100 N DEARBORN ST,"1100 N DEARBORN ST Cook County, IL","(41.9013298, -87.6296809)",41.9013298,-87.6296809
88,17151000690000,"10,391,560","13,813,262","-3,421,702",-0.33,5-97,South Chicago,60 S STATE ST,"60 S STATE ST Cook County, IL","(41.8808483, -87.6276814)",41.8808483,-87.6276814
89,17202190460000,"1,189,883","4,548,960","-3,359,077",-2.82,3-91,West Chicago,1401 S BLUE ISLAND AVE,"1401 S BLUE ISLAND AVE Cook County, IL","(41.8630359, -87.6553083)",41.8630359,-87.6553083
90,17164160130000,"12,457,195","15,806,343","-3,349,148",-0.27,3-91,South Chicago,1000 S CLARK ST,"1000 S CLARK ST Cook County, IL","(41.8694789, -87.6312255)",41.8694789,-87.6312255
91,17171170230000,"1,966,680","5,252,558","-3,285,878",-1.67,5-91,West Chicago,300 S RACINE AVE,"300 S RACINE AVE Cook County, IL","(41.877564, -87.65731199999999)",41.877564,-87.65731199999999
92,17031040190000,"5,052,598","8,275,302","-3,222,704",-0.64,3-91,North Chicago,1340 N ASTOR ST,"1340 N ASTOR ST Cook County, IL","(41.9069457, -87.6284328)",41.9069457,-87.6284328
93,17032040030000,"2,688,004","5,891,101","-3,203,097",-1.19,5-97,North Chicago,21 E BELLEVUE PL,"21 E BELLEVUE PL Cook County, IL","(41.9014563, -87.6274111)",41.9014563,-87.6274111
94,17094120130000,"8,707,017","11,786,413","-3,079,396",-0.35,5-91,South Chicago,333 W WACKER DR,"333 W WACKER DR Cook County, IL","(41.886053, -87.6359543)",41.886053,-87.6359543
95,17094290190000,"29,623,993","32,689,833","-3,065,840",-0.10,5-91,South Chicago,155 N WACKER DR,"155 N WACKER DR Cook County, IL","(41.8847435, -87.6363389)",41.8847435,-87.6363389
96,17092240150000,"10,563,017","13,574,086","-3,011,069",-0.29,3-97,North Chicago,637 N WELLS ST,"637 N WELLS ST Cook County, IL","(41.8935602, -87.63395779999999)",41.8935602,-87.63395779999999
97,17032210050000,"3,790,457","6,774,096","-2,983,639",-0.79,3-97,North Chicago,200 E CHESTNUT ST,"200 E CHESTNUT ST Cook County, IL","(41.8986235, -87.62137609999999)",41.8986235,-87.62137609999999
98,17093000090000,"10,200,011","13,177,728","-2,977,717",-0.29,3-91,West Chicago,365 N HALSTED ST,"365 N HALSTED ST Cook County, IL","(41.8887227, -87.6466284)",41.8887227,-87.6466284
99,17162200080000,"15,056,392","18,021,800","-2,965,408",-0.20,7-29B,South Chicago,208 S LA SALLE ST,"208 S LA SALLE ST Cook County, IL","(41.8789847, -87.6324459)",41.8789847,-87.6324459
100,17094130010000,"6,173,556","9,107,746","-2,934,190",-0.48,5-91,South Chicago,225 W WACKER DR,"225 W WACKER DR Cook County, IL","(41.8863046, -87.6350769)",41.8863046,-87.6350769
101,17093410150000,"12,141,970","15,019,008","-2,877,038",-0.24,5-91,West Chicago,26 N CLINTON ST,"26 N CLINTON ST Cook County, IL","(41.88630209999999, -87.6414738)",41.88630209999999,-87.6414738
102,17052140160000,"7,468,357","10,258,102","-2,789,745",-0.37,3-91,North Chicago,840 W BLACKHAWK ST,"840 W BLACKHAWK ST Cook County, IL","(41.9086829, -87.64969880000001)",41.9086829,-87.64969880000001
103,17164010280000,"6,895,754","9,574,226","-2,678,472",-0.39,3-91,South Chicago,800 S WELLS ST,"800 S WELLS ST Cook County, IL","(41.8715559, -87.6341384)",41.8715559,-87.6341384
104,17031130150000,"3,432,775","6,055,823","-2,623,048",-0.76,3-91,North Chicago,1220 N STONE ST,"1220 N STONE ST Cook County, IL","(41.9044528, -87.6261632)",41.9044528,-87.6261632
105,17093110020000,"882,855","3,484,729","-2,601,874",-2.95,5-97,West Chicago,730 W LAKE ST,"730 W LAKE ST Cook County, IL","(41.88593059999999, -87.6469355)",41.88593059999999,-87.6469355
106,17101350430000,"18,270,370","20,797,475","-2,527,105",-0.14,7-97,North Chicago,330 N WABASH AVE,"330 N WABASH AVE Cook County, IL","(41.8885223, -87.6273106)",41.8885223,-87.6273106
107,17101350420000,"18,942,050","21,469,154","-2,527,104",-0.13,7-97,North Chicago,330 N WABASH AVE,"330 N WABASH AVE Cook County, IL","(41.8885223, -87.6273106)",41.8885223,-87.6273106
108,17102180070000,"13,260,593","15,779,392","-2,518,799",-0.19,3-91,North Chicago,500 N LAKE SHORE DR,"500 N LAKE SHORE DR Cook County, IL","(41.8915996, -87.61502899999999)",41.8915996,-87.61502899999999
109,17171170240000,"1,496,627","3,975,446","-2,478,819",-1.66,5-91,West Chicago,310 S RACINE AVE,"310 S RACINE AVE Cook County, IL","(41.8776134, -87.6572655)",41.8776134,-87.6572655
110,17044140230000,"2,895,866","5,346,163","-2,450,297",-0.85,3-97,North Chicago,1139 N DEARBORN ST,"1139 N DEARBORN ST Cook County, IL","(41.9029375, -87.62954409999999)",41.9029375,-87.62954409999999
111,17084370100000,"11,024,068","13,381,830","-2,357,762",-0.21,5-91,West Chicago,101 N ABERDEEN ST,"101 N ABERDEEN ST Cook County, IL","(41.8834274, -87.6540727)",41.8834274,-87.6540727
112,17094370070000,"32,597,825","34,926,781","-2,328,956",-0.07,5-91,South Chicago,161 N CLARK ST,"161 N CLARK ST Cook County, IL","(41.8848742, -87.63069039999999)",41.8848742,-87.63069039999999
113,17102110300000,"13,131,530","15,444,279","-2,312,749",-0.18,3-97,North Chicago,545 N MCCLURG CT,"545 N MCCLURG CT Cook County, IL","(41.8921245, -87.6172375)",41.8921245,-87.6172375
114,17221060670000,"3,642,767","5,897,191","-2,254,424",-0.62,3-91,South Chicago,1 E 14TH PL,"1 E 14TH PL Cook County, IL","(41.8639619, -87.62682079999999)",41.8639619,-87.62682079999999
