,PARID,"2021 BOR Final 
Assessed Value","2022 CCAO Initial 
Assessed Value",$ Difference,% Difference2,Class,Township,ADDRESS
227,17093410300000,2466830,3042238,-575408,-0.23325806804684546,5-91,West Chicago,540 W MADISON ST
228,17153060140000,1737539,2303528,-565989,-0.32574175313474973,3-91,South Chicago,1011 S STATE ST
229,17094260330000,3964786,4512948,-548162,-0.13825765123262634,5-92,South Chicago,35 W WACKER DR
230,17101290150000,3466208,4010595,-544387,-0.15705549118806483,5-91,North Chicago,430 N MICHIGAN AVE
231,17073000010000,1493140,2029531,-536391,-0.35923691013568715,5-97,West Chicago,345 S WESTERN AVE
232,17092100010000,719263,1253008,-533745,-0.7420720932398859,3-91,North Chicago,719 N WELLS ST
233,17092100020000,719203,1252948,-533745,-0.7421340011095616,3-91,North Chicago,715 N WELLS ST
234,17092100030000,683563,1217308,-533745,-0.7808278095800971,3-91,North Chicago,709 N WELLS ST
235,17094510500000,3682983,4202157,-519174,-0.14096562487527087,5-97,South Chicago,108 N STATE ST
236,17091020300000,1484411,2003164,-518753,-0.34946722976318556,3-91,West Chicago,710 W GRAND AVE
237,17101330040000,2177925,2692318,-514393,-0.23618490076563692,7-91,North Chicago,422 N MICHIGAN AVE
238,17173150710000,2208422,2722119,-513697,-0.23260816999649525,3-91,West Chicago,901 S ASHLAND AVE
239,17093310120000,1449376,1959983,-510607,-0.3522943666791778,3-91,West Chicago,630 W WASHINGTON BLVD
240,17094300060000,2335993,2835198,-499205,-0.2137014109203239,3-91,South Chicago,219 W LAKE ST
241,17094300080000,2332019,2830248,-498229,-0.21364705862173516,3-91,South Chicago,213 W LAKE ST
242,17151000190000,3198703,3694118,-495415,-0.15487996228471346,5-29,South Chicago,10 S WABASH AVE
243,17103010060000,805629,1297636,-492007,-0.6107116302913624,7-91,South Chicago,307 N MICHIGAN AVE
244,17162430260000,797762,1288671,-490909,-0.6153577132026846,5-91,South Chicago,427 S LA SALLE ST
245,17092130350000,1720828,2210367,-489539,-0.28447875092687935,3-97,North Chicago,712 N DEARBORN ST
246,17083380260000,2685682,3169729,-484047,-0.18023243258137045,3-91,West Chicago,1108 W MADISON ST
247,17091290010000,660479,1141809,-481330,-0.7287589764398263,5-91,North Chicago,429 W OHIO ST
248,17032280050000,1431743,1910028,-478285,-0.33405785814912314,3-91,North Chicago,850 N LAKE SHORE DR
249,16264300020000,301751,775344,-473593,-1.5694827854754418,5-97,West Chicago,3245 W 30TH ST
250,17084370170000,2197158,2668710,-471552,-0.21461906699472677,5-91,West Chicago,125 N ABERDEEN ST
251,17044480170000,1578554,2045695,-467141,-0.29592969261742086,3-91,North Chicago,118 W CHICAGO AVE
252,17164040190000,5586933,6051597,-464664,-0.0831697820611057,3-91,South Chicago,642 S CLARK ST
253,17094310140000,11673580,12135371,-461791,-0.03955864439186607,5-91,South Chicago,240 W RANDOLPH ST
254,16264300030000,284848,743065,-458217,-1.6086368870415098,5-97,West Chicago,3225 W 30TH ST
255,17092230100000,1036488,1487866,-451378,-0.4354879168885699,3-91,North Chicago,640 N WELLS ST
256,17044480160000,1479680,1926867,-447187,-0.30221872296712804,3-91,North Chicago,801 N LA SALLE ST
257,17094510440000,1459935,1897822,-437887,-0.29993595605283807,5-97,South Chicago,108 N STATE ST
258,17284090060000,1864561,2287044,-422483,-0.2265857754184497,5-29,South Chicago,2600 S STATE ST
259,17044110180000,359011,780763,-421752,-1.1747606619295787,3-91,North Chicago,1124 N LA SALLE ST
