Status,Address,City Name,List Price Chg Date,Original List Price,List Price,% Change from Original To List Price,Sale Price,SP$/SqFt,% Change from Original to Sold Price,LP$/SqFt,SP$/LP$,CDOM (Days on Market),#Beds,#FBaths,#HBaths,SqFt Liv Area,Lot SqFt,#Garage Spaces,Pool YN,Year Built,Closing Date,List Price Chg Date,Days to Closing from Price Change
Active,1009 Fisher Island Drive,Fisher Island,,"$36,000,000.00","$36,000,000.00",0% ,,,,"$3,529.41",,79,7,10,,"10,200","XXX13,242.00",5,Yes,2025,,12/14/2022,
Active,420 W Rivo Alto Dr,Miami Beach,,"$38,000,000.00","$38,000,000.00",0% ,,,,"$5,229.12",,112,7,6,2,"7,267","13,800",3,Yes,2013,,12/01/2022,
Active,2511 Lake Ave,Miami Beach,,"$45,000,000.00","$45,000,000.00",0% ,,,,"$5,406.70",,51,7,8,2,"8,323","XXX25,769.00",2,Yes,1987,,01/31/2023,
Active,28 W Dilido Dr,Miami Beach,,"$45,000,000.00","$45,000,000.00",0% ,,,,"$6,212.04",,71,5,5,1,"7,244","XXX14,224.00",2,Yes,2022,,01/10/2023,
Active,5930 N Bay Rd,Miami Beach,,"$55,000,000.00","$55,000,000.00",0% ,,,,,,49,0,0,,,"70,470",0,No,2025,,02/02/2023,
Active,44 Bal Bay Dr,Bal Harbour,,"$60,000,000.00","$60,000,000.00",0% ,,,,"$10,179.84",,26,4,5,1,"5,894","XXX45,277.00",2,Yes,1988,,02/14/2023,
Active,98 La Gorce Cir,Miami Beach,,"$75,000,000.00","$75,000,000.00",0% ,,,,"$5,334.28",,110,7,10,3,"14,060","XXX32,953.00",3,Yes,2023,,12/01/2022,
Active,5718 N Bay Rd,Miami Beach,,"$76,500,000.00","$76,500,000.00",0% ,,,,"$9,849.36",,44,7,7,2,"7,767","XXX15,536.00",4,Yes,2022,,02/07/2023,
Active,4736 N Bay Rd,Miami Beach,,"$80,000,000.00","$80,000,000.00",0% ,,,,"$6,373.49",,115,9,9,4,"12,552","25,448",3,Yes,2023,,11/25/2022,
Closed,1375 N Biscayne Point Rd,Miami Beach,,"$5,550,000.00","$5,550,000.00",0% ,"$5,550,000.00","$1,410.78",,"$1,410.78",1,0,4,3,1,"3,934","XXX11,250.00",0,Yes,1951,01/03/2023,01/03/2023,0
Closed,201 N Coconut Ln,Miami Beach,,"$5,900,000.00","$5,900,000.00",0% ,"$5,900,000.00","$3,774.79",,"$3,774.79",1,22,4,3,0,"1,563","XXX7,000.00",0,No,1939,02/22/2023,12/31/2022,53
Closed,940 88th St,Surfside,,"$8,500,000.00","$8,500,000.00",0% ,"$7,925,000.00","$3,545.86",,"$3,803.13",0.93,46,4,3,1,"2,235","XXX15,000.00",2,Yes,1956,02/06/2023,09/20/2022,139
Closed,1125 N Shore Dr,Miami Beach,,"$11,500,000.00","$11,500,000.00",0% ,"$10,500,000.00","$2,517.99",,"$2,757.79",0.91,192,6,8,0,"4,170","XXX18,530.00",2,Yes,2022,11/15/2022,12/29/2021,321
