URL,Tags
https://therealdeal.com/chicago/2022/11/01/developer-sells-9m-land-for-super-pricey-planned-lincoln-park-mansion/,"subscriber-inline,housing market,lincoln park,luxury real estate,residential real estate"
https://therealdeal.com/chicago/2022/11/01/can-this-gold-coast-penthouse-sell-for-8m/,"subscriber-inline,gold coast,housing market,luxury real estate,residential real estate"
https://therealdeal.com/chicago/2022/10/31/sachtleben-eyes-1m-sf-carpentersville-industrial-project/,"meter,industrial market,suburban chicago"
https://therealdeal.com/chicago/2022/10/31/prominent-wrigley-field-facing-greystone-seeking-5-9m/,"meter,lakeview,ricketts family,todd ricketts,wrigleyville"
https://therealdeal.com/chicago/2022/10/31/nisen-elliot-trims-central-loop-footprint/”,0
https://therealdeal.com/chicago/2022/10/31/nisen-elliot-trims-central-loop-footprint/,"subscriber-inline,central business district,central loop,chicago,commercial real estate,ivanhoe cambridge,office market"
https://therealdeal.com/chicago/2022/10/31/luxe-let-down-saldanas-get-37-below-ask-on-waldorf-condo/,"meter,condo market,gold coast,waldorf astoria"
https://therealdeal.com/chicago/2022/10/31/bucktown-home-filmed-for-chicago-tv-shows-resets-neighborhood-bar/,"subscriber-inline,bucktown,film,jeff lowe,tim salm"
https://therealdeal.com/chicago/2022/10/31/bucktown-home-filmed-for-chicago-tv-shows-resets-neighborhood-bar/,"meter,bucktown,film,jeff lowe,tim salm"
https://therealdeal.com/chicago/2022/10/28/landmark-gathering-allies-for-one-central-megadevelopment/,"meter,cta,landmark development,one central,soldier field"
https://therealdeal.com/chicago/2022/10/28/core-acquisitions-picks-up-skokie-retail-for-13-5m/,"subscriber-inline,core acquisitions,pine tree,retail market,skokie,suburban chicago"
https://therealdeal.com/chicago/2022/10/28/chicago-eyes-137m-to-build-upgrade-senior-housing/,"meter,affordable housing,chicago housing authority,pullman,senior housing,south side"
https://therealdeal.com/chicago/2022/10/28/bears-rushing-the-end-zone-on-197-2m-arlington-racecourse-deal/,"meter,arlington heights,chicago bears,chicago suburbs"
https://therealdeal.com/chicago/2022/10/27/turiks-han-capital-gets-17m-on-northwest-indiana-property/,"subscriber-inline,commercial real estate,industrial market,self storage,suburban chicago"
https://therealdeal.com/chicago/2022/10/27/serial-retail-entrepreneur-drops-6-3m-on-winnetka-home/,"subscriber-inline,brian spaly,housing market,luxury real estate,residential real estate,winnetka"
https://therealdeal.com/chicago/2022/10/27/northwestern-plans-19-story-streeterville-biomedical-expansion/,"meter,northwestern university,streeterville"
https://therealdeal.com/chicago/2022/10/27/kore-investments-sells-ohare-office-building-for-13m/,"subscriber-inline,commercial real estate,o'hare airport,office market,rosemont,suburban chicago"
https://therealdeal.com/chicago/2022/10/27/isaac-shalom-tests-challenged-state-street-retail-market/,"meter,central loop,chicago,commercial real estate,loop,retail market,state street"
https://therealdeal.com/chicago/2022/10/27/dupage-county-blazes-real-estate-path-for-cannabis/,"meter,dupage county,recreational cannabis,retail market,suburban chicago"
https://therealdeal.com/chicago/2022/10/26/torchlight-investors-taps-jll-to-market-lincolnwood-mall/,"meter,chicago suburbs,lincolnwood,retail"
https://therealdeal.com/chicago/2022/10/26/related-scoops-up-property-near-west-loop-tower-project/,"meter,fulton market,related midwest,west loop"
https://therealdeal.com/chicago/2022/10/26/penn-entertainment-wins-50m-from-city-for-aurora-casino-move/,"meter,aurora,casinos,dupage county,penn entertainment,suburban chicago"
https://therealdeal.com/chicago/2022/10/26/lawsuit-brokerage-behind-17m-sale-owes-300k-in-marketing-fees/,"meter,lake geneva,luxury real estate,residential real estate,ryan d’aprile"
https://therealdeal.com/chicago/2022/10/26/game-on-chicagos-push-to-sell-city-owned-lots-kicks-off/,"subscriber-inline,affordable housing,chicago,development,residential real estate"
